OrderID,Date,Product Name,Quantity,Price
1,2023-01-01,Laptop,5,1200.00
2,01/02/23,Cellphone,3,800.00
3,2023-01-03,Monitor,2,300.00
4,01-04-2023,Keyboard,10,75.00
5,2023/01/05,Mouse,8,25.00
6,2023-01-06,Laptop,NULL,1200.00
7,2023-01-07,Cellphone,5,800.00
8,01/08/23,Lptop,2,1150.00
9,2023-01-09,Monitor,NULL,310.00
10,01-10-2023,Keyboard,7,70.00
11,2023/01/11,Mouse,3,24.00
12,2023-01-12,Laptop,5,1200.00
13,01/13/23,Headphones,1,150.00
14,2023-01-14,Printer,2,250.00
15,01-15-2023,Laptop,NULL,1200.00
16,2023/01/16,Cellphone,5,800.00
17,2023-01-17,Smartwatch,1,200.00
18,01/18/23,Laptop,3,1200.00
19,2023-01-19,Monitor,4,300.00
20,01-20-2023,Keyboard,5,75.00
21,2023/01/21,Mouse,2,25.00
22,2023-01-22,Laptop,6,1200.00
23,01/23/23,Cellphone,2,800.00
24,2023-01-24,Monitor,1,300.00
25,01-25-2023,Keybord,8,75.00
26,2023/01/26,Mouse,5,25.00
27,2023-01-27,Laptop,7,1200.00
28,01/28/23,Headphones,3,150.00
29,2023-01-29,Printer,1,250.00
30,01-30-2023,Laptop,4,1200.00
31,2023-02-01,Cellphone,3,800.00
32,02/02/23,Monitor,2,300.00
33,2023-02-03,Keyboard,6,75.00
34,02-04-2023,Mouse,4,25.00
35,2023/02/05,Laptop,5,1200.00
36,2023-02-06,Cellphone,2,800.00
37,2023-02-07,Lptop,3,1150.00
38,02/08/23,Monitor,1,310.00
39,2023-02-09,Keyboard,8,70.00
40,02-10-2023,Mouse,6,24.00
41,2023/02/11,Laptop,5,1200.00
42,2023-02-12,Headphones,2,150.00
43,2023-02-13,Printer,3,250.00
44,02-14-2023,Laptop,6,1200.00
45,2023/02/15,Cellphone,3,800.00
46,2023-02-16,Smartwatch,2,200.00
47,02/17/23,Laptop,4,1200.00
48,2023-02-18,Monitor,3,300.00
49,02-19-2023,Keyboard,7,75.00
50,2023/02/20,Mouse,4,25.00
51,2023-02-21,Laptop,5,1200.00
52,02/22/23,Cellphone,3,800.00
53,2023-02-23,Monitor,2,300.00
54,02-24-2023,Keyboard,10,75.00
55,2023/02/25,Mouse,8,25.00
56,2023-02-26,Laptop,NULL,1200.00
57,2023-02-27,Cellphone,5,800.00
58,02/28/23,Lptop,2,1150.00
59,2023-03-01,Monitor,NULL,310.00
60,03-02-2023,Keyboard,7,70.00
61,2023/03/03,Mouse,3,24.00
62,2023-03-04,Laptop,5,1200.00
